               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1246,             0.04836,             0.08283,            0.007315,            0.097515,           0.0063562,           0.0017814,             0.12483,            0.030669,            0.092301,                0.01,                0.01,                0.01
                   1,             0.12089,             0.04809,            0.083077,           0.0038978,             0.15701,            0.013562,           0.0019156,             0.11027,            0.031135,            0.084937,                0.01,                0.01,                0.01
                   2,             0.11155,            0.057182,            0.078078,           0.0090403,             0.19995,            0.042639,            0.014755,            0.097082,            0.032989,             0.07775,           0.0099976,           0.0099976,           0.0099976
                   3,             0.10309,             0.05885,            0.070496,             0.57526,            0.030769,            0.042151,            0.020812,             0.08912,              0.0334,            0.072151,           0.0099902,           0.0099902,           0.0099902
                   4,            0.095545,            0.058617,            0.066692,             0.68742,            0.044302,            0.054813,            0.025386,             0.08431,            0.034881,            0.063647,            0.009978,            0.009978,            0.009978
                   5,            0.083069,            0.057993,             0.06076,             0.38963,             0.10759,            0.067362,            0.029195,            0.082839,            0.037977,             0.05623,            0.009961,            0.009961,            0.009961
                   6,            0.087516,            0.066742,            0.058082,             0.11997,             0.10415,            0.057121,             0.02462,            0.080614,            0.042621,            0.050648,           0.0099391,           0.0099391,           0.0099391
                   7,            0.081541,            0.068237,            0.056182,            0.045962,             0.10195,             0.04393,             0.01755,            0.078499,            0.051626,            0.046818,           0.0099123,           0.0099123,           0.0099123
                   8,            0.079693,            0.064631,            0.054967,            0.013115,             0.18421,            0.020538,           0.0076618,            0.080896,            0.062622,            0.046469,           0.0098808,           0.0098808,           0.0098808
                   9,            0.076261,            0.068671,            0.049083,              0.1843,            0.097749,            0.028516,           0.0086006,            0.077297,            0.068876,            0.047153,           0.0098445,           0.0098445,           0.0098445
                  10,             0.07773,            0.066052,            0.048553,             0.24377,            0.044673,              0.0158,           0.0035465,            0.081567,            0.065889,            0.047434,           0.0098035,           0.0098035,           0.0098035
                  11,            0.072197,            0.068705,            0.046817,           0.0072065,             0.10881,           0.0066011,           0.0014165,            0.078424,            0.079014,            0.047491,           0.0097577,           0.0097577,           0.0097577
                  12,            0.072025,            0.060783,            0.045564,             0.62441,             0.01095,           0.0020083,          0.00059387,            0.081056,            0.075926,            0.047146,           0.0097074,           0.0097074,           0.0097074
